contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	2416951	38.39	True
plasmid00001	plasmid	199091	36.24	True
plasmid00002	plasmid	39058	35.17	True
plasmid00003	plasmid	24729	33.95	True
plasmid00004	plasmid	4147	36.92	True
